FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
FL1,1,AA,American Airlines,123 Main St,City1,123-456-7890,987-654-3210,100,08:00:00,12:00:00,Lunes, Miércoles, Viernes
FL2,2,BA,British Airways,456 Oak St,City2,234-567-8901,876-543-2109,80,14:00:00,18:00:00,Martes, Jueves, Sábado
